"Metric","BEFORE","shift","ridge","combat"
"rmse_replicates",0.593854850742946,0.288965213162924,0.332038322835919,0.297527951167332
"pvca_batch_variance",0.216359996209834,0.0336242625748488,0.0366040835285306,0.0329954282361182
"pvca_batch_variance_delta",NA,-0.182735733634985,-0.179755912681303,-0.183364567973715
"pvca_biology_variance",0.612539899981785,0.724089165922525,0.720158776499212,0.723690967565691
"pvca_biology_variance_delta",NA,0.11154926594074,0.107618876517426,0.111151067583905
"knn_jaccard",NA,0.75297619047619,0.798214285714286,0.769642857142857
"hvg_overlap",NA,0.947419668938656,0.953125,0.948368241597662
"adjusted_rand_index",NA,0.764712819908008,0.824500635030597,0.764712819908008
"cluster_compactness",0.372471617913409,0.37048234743078,0.351597195663246,0.362065710468661
"cluster_compactness_delta",NA,-0.00198927048262842,-0.0208744222501627,-0.0104059074447472
"cluster_separation",2.68476832034079,2.69918393395744,2.84416375424616,2.76192959202237
"cluster_separation_delta",NA,0.0144156136166451,0.159395433905368,0.0771612716815779
"biology_f_stat_correlation",NA,0.934236027640566,0.958031554416486,0.942806015929138
"biology_eta_squared_correlation",NA,0.934236027640566,0.958031554416486,0.942806015929138
