"Metric","BEFORE","shift","ridge","combat"
"rmse_replicates",0.593854850742946,0.288965213162924,0.351047145462103,0.297527951167332
"pvca_batch_variance",0.207648942595886,0.0642040050597205,0.0359953487551603,0.0436498368504465
"pvca_batch_variance_delta",NA,-0.143444937536165,-0.171653593840725,-0.163999105745439
"pvca_biology_variance",0.629273508075294,0.726343478176516,0.736272641095091,0.736016885705234
"pvca_biology_variance_delta",NA,0.097069970101222,0.106999133019797,0.10674337762994
"knn_jaccard",NA,0.573412698412698,0.639285714285714,0.552380952380952
"hvg_overlap",NA,0.933301111648139,0.951219512195122,0.937984496124031
"adjusted_rand_index",NA,0.415384615384615,0.735037768739105,0.7170935080405
"cluster_compactness",0.408759053162774,0.390894562132812,0.348817073771804,0.379408720486042
"cluster_compactness_delta",NA,-0.0178644910299622,-0.0599419793909701,-0.0293503326767315
"cluster_separation",2.44642899591458,2.55823461586103,2.86683214553368,2.63568006217397
"cluster_separation_delta",NA,0.111805619946451,0.420403149619098,0.189251066259392
"biology_f_stat_correlation",NA,0.925645397863556,0.96210262574245,0.931481695298306
"biology_eta_squared_correlation",NA,0.925645397863556,0.96210262574245,0.931481695298306
