"scenario","method","rmse_before","rmse_after","batch_var_before","batch_var_after","biology_var_before","biology_var_after","knn_jaccard","hvg_overlap","biology_concordance"
"balanced","shift",0.593854850742946,0.288965213162924,0.207648942595886,0.0642040050597205,0.629273508075294,0.726343478176516,0.573412698412698,0.933301111648139,NA
"balanced","ridge",0.593854850742946,0.351047145462103,0.207648942595886,0.0359953487551603,0.629273508075294,0.736272641095091,0.639285714285714,0.951219512195122,NA
"balanced","combat",0.593854850742946,0.297527951167332,0.207648942595886,0.0436498368504465,0.629273508075294,0.736016885705234,0.552380952380952,0.937984496124031,NA
"mild","shift",0.593854850742946,0.288965213162924,0.216359996209834,0.0336242625748488,0.612539899981785,0.724089165922525,0.75297619047619,0.947419668938656,NA
"mild","ridge",0.593854850742946,0.332038322835919,0.216359996209834,0.0366040835285306,0.612539899981785,0.720158776499212,0.798214285714286,0.953125,NA
"mild","combat",0.593854850742946,0.297527951167332,0.216359996209834,0.0329954282361182,0.612539899981785,0.723690967565691,0.769642857142857,0.948368241597662,NA
"strong","shift",0.593854850742946,0.288965213162924,0.176712802144555,0.028613070011978,0.692533611520804,0.783463913551165,0.945833333333333,0.976284584980237,NA
"strong","ridge",0.593854850742946,0.345337064642234,0.176712802144555,0.0437936142235289,0.692533611520804,0.774632501790319,0.954761904761905,0.977261492832427,NA
"strong","combat",0.593854850742946,0.297527951167332,0.176712802144555,0.035102796417618,0.692533611520804,0.780427809415921,0.954761904761905,0.977261492832427,NA
"confounded","shift",0.593854850742946,0.288965213162924,0.735854054904497,0.729798882212341,0.735854054904497,0.729798882212341,0.95,0.748251748251748,NA
"confounded","ridge",0.593854850742946,1.1667618628314,0.735854054904497,0.430713966030573,0.735854054904497,0.430713966030573,0.933333333333333,0.681378730559058,NA
"confounded","combat",0.593854850742946,0.297527951167332,0.735854054904497,0.724956193847029,0.735854054904497,0.724956193847029,0.95,0.788109074653554,NA
