"Metric","BEFORE","shift","ridge","combat","combatseq"
"rmse_replicates",0.593854850742946,0.288965213162924,0.304572622433911,0.297527951167332,0.285677526812455
"pvca_batch_variance",0.184141243030603,0.0575159843401323,0.043198987748133,0.039772722016395,0.00636418941228686
"pvca_batch_variance_delta",NA,-0.126625258690471,-0.14094225528247,-0.144368521014208,-0.177777053618316
"pvca_biology_variance",0.632145154772728,0.707775826436784,0.714083409147399,0.715869473395675,0.690238078465818
"pvca_biology_variance_delta",NA,0.0756306716640556,0.0819382543746705,0.083724318622947,0.0580929236930896
"knn_jaccard",NA,0.891446427968167,0.885878662400401,0.885878662400401,0.806475939519418
"hvg_overlap",NA,0.956947162426614,0.96078431372549,0.959823615874571,0.967535661583866
"adjusted_rand_index",NA,0.571370985801944,0.613899613899614,0.613899613899614,0.758687258687259
"cluster_compactness",0.4027660964694,0.407390901283293,0.413704513095438,0.414176872652214,0.443266391490522
"cluster_compactness_delta",NA,0.0046248048138936,0.0109384166260382,0.0114107761828146,0.0405002950211226
"cluster_separation",2.48283062741845,2.45464490456211,2.41718416972964,2.41442742468072,2.25597974310078
"cluster_separation_delta",NA,-0.0281857228563447,-0.0656464576888136,-0.0684032027377315,-0.226850884317667
"biology_f_stat_correlation",NA,0.936437474380878,0.941672801269882,0.937646678709375,0.936739945356432
"biology_eta_squared_correlation",NA,0.936437474380878,0.941672801269882,0.937646678709375,0.936739945356432
