"n_replicates","n_C","n_D","n_libraries","method","anchors","batch_var_before","batch_var_after","bio_var_before","bio_var_after","knn_jaccard","hvg_overlap","rmse_before","rmse_after","ari","batch_delta","bio_delta","rmse_delta"
2,1,1,4,"shift","C9,D14",0.127419794245273,0.0438576604498772,0.704482054241031,0.751580365482977,0.953621933621934,0.982160555004955,0.593768692321815,0.259222594704145,0.929935895370937,-0.0835621337953959,0.0470983112419454,-0.33454609761767
2,1,1,4,"ridge","C9,D14",0.127419794245273,0.109260028475428,0.704482054241031,0.714622217136851,1,0.99700449326011,0.593768692321815,0.543861349708138,0.929935895370937,-0.0181597657698447,0.0101401628958201,-0.0499073426136768
2,1,1,4,"combat","C9,D14",0.127419794245273,0.0431634268134036,0.704482054241031,0.752107939114048,0.965907522429262,0.983143282102132,0.593768692321815,0.305832424529467,0.805318138651472,-0.0842563674318695,0.0476258848730166,-0.287936267792348
2,1,1,4,"combatseq","C9,D14",0.127419794245273,0.00327016435894055,0.704482054241031,0.43578768462567,0.850178806700546,0.952171791117618,0.593768692321815,0.240693703666061,0.759645074267884,-0.124149629886333,-0.268694369615361,-0.353074988655754
3,2,1,6,"shift","C9,C11,D14",0.127419794245273,0.0375119793700119,0.704482054241031,0.7548166720543,0.951910408432148,0.982160555004955,0.564139861341777,0.240283402508157,0.759645074267884,-0.0899078148752612,0.0503346178132684,-0.32385645883362
3,2,1,6,"ridge","C9,C11,D14",0.127419794245273,0.0619161362016084,0.704482054241031,0.740844785158154,0.977777777777778,0.988071570576541,0.564139861341777,0.378518429699259,0.929935895370937,-0.0655036580436647,0.0363627309171231,-0.185621431642517
3,2,1,6,"combat","C9,C11,D14",0.127419794245273,0.038806551097967,0.704482054241031,0.754357663377994,0.965907522429262,0.984126984126984,0.564139861341777,0.26430483391856,0.759645074267884,-0.0886132431473061,0.0498756091369622,-0.299835027423217
3,2,1,6,"combatseq","C9,C11,D14",0.127419794245273,0.00954732726037123,0.704482054241031,0.665283911350447,0.909919066440806,0.96174595389897,0.564139861341777,0.234772163073292,0.759645074267884,-0.117872466984902,-0.0391981428905842,-0.329367698268485
5,3,2,10,"shift","C9,C11,C8,D14,D5",0.127419794245273,0.0423655364433618,0.704482054241031,0.752743597675932,0.95044733044733,0.983143282102132,0.625347060453983,0.304211276281599,0.805318138651472,-0.0850542578019113,0.0482615434349004,-0.321135784172384
5,3,2,10,"ridge","C9,C11,C8,D14,D5",0.127419794245273,0.0370764986463828,0.704482054241031,0.755135370809046,0.951910408432148,0.983143282102132,0.625347060453983,0.331645410409856,0.805318138651472,-0.0903432955988903,0.0506533165680143,-0.293701650044127
5,3,2,10,"combat","C9,C11,C8,D14,D5",0.127419794245273,0.0358512990516868,0.704482054241031,0.755865930632921,0.94949494949495,0.983143282102132,0.625347060453983,0.316634717009181,0.805318138651472,-0.0915684951935863,0.05138387639189,-0.308712343444802
5,3,2,10,"combatseq","C9,C11,C8,D14,D5",0.127419794245273,0.0122866457200238,0.704482054241031,0.673742001123995,0.902741702741703,0.969473165928114,0.625347060453983,0.310835372286631,0.759645074267884,-0.115133148525249,-0.0307400531170366,-0.314511688167352
10,5,5,20,"shift","C9,C11,C8,C4,C10,D14,D5,D13,D12,D9",0.127419794245273,0.0302976080616999,0.704482054241031,0.758467157068677,0.94949494949495,0.983143282102132,0.575784137573502,0.306006518217206,0.805318138651472,-0.0971221861835732,0.0539851028276453,-0.269777619356296
10,5,5,20,"ridge","C9,C11,C8,C4,C10,D14,D5,D13,D12,D9",0.127419794245273,0.0299989506283669,0.704482054241031,0.758545093267132,0.956960913482653,0.982160555004955,0.575784137573502,0.309409590296602,0.805318138651472,-0.0974208436169062,0.054063039026101,-0.266374547276899
10,5,5,20,"combat","C9,C11,C8,C4,C10,D14,D5,D13,D12,D9",0.127419794245273,0.0295770521632718,0.704482054241031,0.758815085328366,0.956960913482653,0.983143282102132,0.575784137573502,0.306703476997867,0.805318138651472,-0.0978427420820013,0.0543330310873347,-0.269080660575634
10,5,5,20,"combatseq","C9,C11,C8,C4,C10,D14,D5,D13,D12,D9",0.127419794245273,0.0109648678976039,0.704482054241031,0.660392301169687,0.909919066440806,0.967535661583866,0.575784137573502,0.309407451088988,0.759645074267884,-0.116454926347669,-0.0440897530713447,-0.266376686484514
