"batch_var_before","batch_var_after","bio_var_before","bio_var_after","knn_jaccard","hvg_overlap","rmse_before","rmse_after","ari","scenario","method","batch_delta","bio_delta","rmse_delta"
0.204355184241496,0.0359525493181457,0.582028218161104,0.674531728432537,0.818399378399378,0.943634596695821,0.593854850742946,0.288965213162924,0.506085929693887,"balanced","shift",-0.16840263492335,0.0925035102714331,-0.304889637580022
0.204355184241496,0.0275555972924394,0.582028218161104,0.676250840068751,0.792205765249243,0.947419668938656,0.593854850742946,0.304264402009969,0.506085929693887,"balanced","ridge",-0.176799586949057,0.0942226219076471,-0.289590448732976
0.204355184241496,0.0259829973350969,0.582028218161104,0.677685187691149,0.786145159188637,0.945525291828794,0.593854850742946,0.297527951167332,0.506085929693887,"balanced","combat",-0.178372186906399,0.095656969530045,-0.296326899575614
0.204355184241496,0.00287600434131933,0.582028218161104,0.672062485295985,0.66935373804939,0.949317738791423,0.593854850742946,0.290044143015286,0.448745420612428,"balanced","combatseq",-0.201479179900177,0.0900342671348809,-0.30381070772766
0.184141243030603,0.0575159843401323,0.632145154772728,0.707775826436784,0.891446427968167,0.956947162426614,0.593854850742946,0.288965213162924,0.571370985801944,"mild","shift",-0.126625258690471,0.0756306716640556,-0.304889637580022
0.184141243030603,0.043198987748133,0.632145154772728,0.714083409147399,0.885878662400401,0.96078431372549,0.593854850742946,0.304572622433911,0.613899613899614,"mild","ridge",-0.14094225528247,0.0819382543746705,-0.289282228309034
0.184141243030603,0.039772722016395,0.632145154772728,0.715869473395675,0.885878662400401,0.959823615874571,0.593854850742946,0.297527951167332,0.613899613899614,"mild","combat",-0.144368521014208,0.083724318622947,-0.296326899575614
0.184141243030603,0.00636418941228686,0.632145154772728,0.690238078465818,0.806475939519418,0.967535661583866,0.593854850742946,0.285677526812455,0.758687258687259,"mild","combatseq",-0.177777053618316,0.0580929236930896,-0.308177323930491
0.10225372736597,0.047949408659699,0.721132684629191,0.751570221629524,0.953333333333333,0.984126984126984,0.593854850742946,0.288965213162924,0.878048780487805,"strong","shift",-0.0543043187062713,0.0304375370003331,-0.304889637580022
0.10225372736597,0.0387194422620212,0.721132684629191,0.756460183141829,0.948396048396048,0.985111662531017,0.593854850742946,0.304025482554059,0.878048780487805,"strong","ridge",-0.0635342851039492,0.0353274985126378,-0.289829368188887
0.10225372736597,0.0361570691471597,0.721132684629191,0.757508796826204,0.948396048396048,0.985111662531017,0.593854850742946,0.297527951167332,0.878048780487805,"strong","combat",-0.0660966582188106,0.0363761121970122,-0.296326899575614
0.10225372736597,0.0104088493945019,0.721132684629191,0.665568296131153,0.883460983460983,0.971414489896501,0.593854850742946,0.290733958333258,0.831923753917486,"strong","combatseq",-0.0918448779714684,-0.0555643884980381,-0.303120892409687
0.704652530578189,0.700028021521928,0.704652530578189,0.700028021521928,0.808601543384152,0.75054704595186,0.593854850742946,0.288965213162924,1,"confounded","shift",-0.00462450905626133,-0.00462450905626133,-0.304889637580022
0.704652530578189,0.701126017234551,0.704652530578189,0.701126017234551,0.853704749356923,0.812415043044857,0.593854850742946,0.304678693491471,1,"confounded","ridge",-0.00352651334363741,-0.00352651334363741,-0.289176157251474
0.704652530578189,0.694431742531494,0.704652530578189,0.694431742531494,0.862651358303532,0.788908765652952,0.593854850742946,0.297527951167332,1,"confounded","combat",-0.0102207880466948,-0.0102207880466948,-0.296326899575614
0.704652530578189,0.69580254076053,0.704652530578189,0.69580254076053,0.837003576134011,0.763668430335097,0.593854850742946,0.284969493998334,1,"confounded","combatseq",-0.00884998981765872,-0.00884998981765872,-0.308885356744612
