"Metric","BEFORE","shift","ridge","combat","combatseq"
"rmse_replicates",0.593854850742946,0.288965213162924,0.304264402009969,0.297527951167332,0.290044143015286
"pvca_batch_variance",0.204355184241496,0.0359525493181457,0.0275555972924394,0.0259829973350969,0.00287600434131933
"pvca_batch_variance_delta",NA,-0.16840263492335,-0.176799586949057,-0.178372186906399,-0.201479179900177
"pvca_biology_variance",0.582028218161104,0.674531728432537,0.676250840068751,0.677685187691149,0.672062485295985
"pvca_biology_variance_delta",NA,0.0925035102714331,0.0942226219076471,0.095656969530045,0.0900342671348809
"knn_jaccard",NA,0.818399378399378,0.792205765249243,0.786145159188637,0.66935373804939
"hvg_overlap",NA,0.943634596695821,0.947419668938656,0.945525291828794,0.949317738791423
"adjusted_rand_index",NA,0.506085929693887,0.506085929693887,0.506085929693887,0.448745420612428
"cluster_compactness",0.480571718995979,0.448275677314739,0.444657913284984,0.443387465347899,0.479418329477587
"cluster_compactness_delta",NA,-0.0322960416812397,-0.0359138057109955,-0.0371842536480804,-0.00115338951839233
"cluster_separation",2.08085486613574,2.23077015016786,2.24891983280436,2.25536371267366,2.08586100804632
"cluster_separation_delta",NA,0.149915284032121,0.168064966668619,0.17450884653792,0.00500614191057736
"biology_f_stat_correlation",NA,0.945339740379077,0.951721316877311,0.948795213355202,0.950237818974071
"biology_eta_squared_correlation",NA,0.945339740379077,0.951721316877311,0.948795213355202,0.950237818974071
