"Metric","BEFORE","shift","ridge","combat","combatseq"
"rmse_replicates",0.593854850742946,0.288965213162924,0.304025482554059,0.297527951167332,0.290733958333258
"pvca_batch_variance",0.10225372736597,0.047949408659699,0.0387194422620212,0.0361570691471597,0.0104088493945019
"pvca_batch_variance_delta",NA,-0.0543043187062713,-0.0635342851039492,-0.0660966582188106,-0.0918448779714684
"pvca_biology_variance",0.721132684629191,0.751570221629524,0.756460183141829,0.757508796826204,0.665568296131153
"pvca_biology_variance_delta",NA,0.0304375370003331,0.0353274985126378,0.0363761121970122,-0.0555643884980381
"knn_jaccard",NA,0.953333333333333,0.948396048396048,0.948396048396048,0.883460983460983
"hvg_overlap",NA,0.984126984126984,0.985111662531017,0.985111662531017,0.971414489896501
"adjusted_rand_index",NA,0.878048780487805,0.878048780487805,0.878048780487805,0.831923753917486
"cluster_compactness",0.349622750315813,0.359620839006285,0.359070377885327,0.359439363165555,0.449357074804185
"cluster_compactness_delta",NA,0.00999808869047225,0.00944762756951423,0.00981661284974183,0.0997343244883723
"cluster_separation",2.86022576933768,2.78070648731934,2.78496935862351,2.78211042661849,2.22540170405855
"cluster_separation_delta",NA,-0.0795192820183384,-0.0752564107141676,-0.0781153427191845,-0.634824065279123
"biology_f_stat_correlation",NA,0.96120893516298,0.965510806570446,0.963463465272138,0.903125565264019
"biology_eta_squared_correlation",NA,0.96120893516298,0.965510806570446,0.963463465272138,0.903125565264019
